DataSet,PubID,TrialID,TrtID,SubjectID,PlateID,WellID,SubTrtID,Site_sample,Cell_Type,Day_Sample,Day_Sample2,Time_Sample,VarName,VarValue,VarUnits,N,SE,SD,VarType
"Teixeira 2018",1,1,1,19,-,2w,C052_run1_Pilot19,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,38.6,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,20,-,1w,C052_run1_Pilot20,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,84.41,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,21,-,1w,C052_run1_Pilot21,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,60.27,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,22,-,2w,C052_run1_Pilot22,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,248.22,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,23,-,1w,C052_run1_Pilot23,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,86.34,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,24,-,1w,C052_run1_Pilot24,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,16.77,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,25,-,2w,C052_run1_Pilot25,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,137.62,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,26,-,1w,C052_run1_Pilot26,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,58.09,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,27,-,1w,C052_run1_Pilot27,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,93.81,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,28,-,2w,C052_run1_Pilot28,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,44.8,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,29,-,1w,C052_run1_Pilot29,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,131,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,30,-,1w,C052_run1_Pilot30,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,17.01,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,31,-,2w,C052_run1_Pilot31,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric,97.42,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,32,-,1w,C052_run1_Pilot32,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric,221.2,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,33,-,1w,C052_run1_Pilot33,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric,62.49,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,34,-,2w,C052_run1_Pilot34,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric,214.41,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,35,-,1w,C052_run1_Pilot35,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric,120.05,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,37,-,2w,C052_run1_Pilot37,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,158.18,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,38,-,1w,C052_run1_Pilot38,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,97.92,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,39,-,1w,C052_run1_Pilot39,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,145.78,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,40,-,2w,C052_run1_Pilot40,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,32.07,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,41,-,1w,C052_run1_Pilot41,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,221.53,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,42,-,1w,C052_run1_Pilot42,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,13.65,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,43,-,2w,C052_run1_Pilot43,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,27.26,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,44,-,1w,C052_run1_Pilot44,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,29.25,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,45,-,1w,C052_run1_Pilot45,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,12.28,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,47,-,1w,C052_run1_Pilot47,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,24.57,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,48,-,1w,C052_run1_Pilot48,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,26.7,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,49,-,2w,C052_run1_Pilot49,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric,38.12,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,50,-,1w,C052_run1_Pilot50,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric,36.55,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,51,-,2w,C052_run1_Pilot52,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric,56.48,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,52,-,1w,C052_run1_Pilot53,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric,13.06,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,53,-,1w,C052_run1_Pilot56,"bovine mammary gland","luminal epithelial cells",20,1,8:00:00,Lauric,18.68,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,54,-,2w,C052_run1_Pilot58,"bovine mammary gland","luminal epithelial cells",20,1,8:00:00,Lauric,18.63,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,55,-,1w,C052_run1_Pilot59,"bovine mammary gland","luminal epithelial cells",20,1,8:00:00,Lauric,14.4,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,56,-,2w,C052_run1_Pilot61,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric,30.64,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,57,-,1w,C052_run1_Pilot62,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric,46.51,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,58,-,2w,C052_run1_Pilot64,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric,21.12,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,59,-,1w,C052_run1_Pilot65,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric,41.81,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,60,-,2w,C052_run1_Pilot67,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,38.26,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,61,-,1w,C052_run1_Pilot68,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,32.88,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,62,-,1w,C052_run1_Pilot69,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,39.15,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,63,-,2w,C052_run1_Pilot73,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,10.65,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,64,-,1w,C052_run1_Pilot74,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,53.84,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,65,-,1w,C052_run1_Pilot75,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,138.96,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,66,-,100mm,C052_run1_Pilot80,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,310.75,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,67,-,100mm,C052_run1_Pilot81,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric,89.7,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,68,-,100mm,C052_run1_Pilot82,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,183.48,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,69,-,100mm,C052_run1_Pilot83,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric,20.9,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,70,-,100mm,C052_run1_Pilot84,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,180.19,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,71,-,100mm,C052_run1_Pilot85,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric,32.77,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,72,-,100mm,C052_run1_Pilot86,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,169.45,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,73,-,100mm,C052_run1_Pilot87,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric,124.92,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,74,-,100mm,C052_run1_Pilot88,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric,62.81,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,75,-,100mm,C052_run1_Pilot89,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric,36.39,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,76,-,100mm,C052_run1_Pilot90,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,213.15,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,77,-,100mm,C052_run1_Pilot91,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric,64.62,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,78,-,100mm,C052_run1_Pilot92,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,92.05,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,79,-,100mm,C052_run1_Pilot93,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric,18.18,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,80,-,100mm,C052_run1_Pilot94,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric,305.13,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,81,-,100mm,C052_run1_Pilot95,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric,13.27,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,1,-,2w,C052_run1_Pilot1,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric+1,15.22,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,2,-,1w,C052_run1_Pilot2,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric+1,4.96,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,3,-,1w,C052_run1_Pilot3,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric+1,13.26,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,4,-,2w,C052_run1_Pilot4,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric+1,7.12,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,5,-,1w,C052_run1_Pilot5,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric+1,15.65,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,7,-,2w,C052_run1_Pilot7,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric+1,15.21,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,8,-,1w,C052_run1_Pilot8,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric+1,13.39,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,9,-,1w,C052_run1_Pilot9,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric+1,9.12,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,11,-,1w,C052_run1_Pilot11,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric+1,7.48,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,12,-,1w,C052_run1_Pilot12,"bovine mammary gland","luminal epithelial cells",20,1,0:05:00,Lauric+1,8.43,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,13,-,2w,C052_run1_Pilot13,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric+1,14.92,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,15,-,1w,C052_run1_Pilot15,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric+1,14.9,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,16,-,2w,C052_run1_Pilot16,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric+1,33.04,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,17,-,1w,C052_run1_Pilot17,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric+1,24.66,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,19,-,2w,C052_run1_Pilot19,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,34.01,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,20,-,1w,C052_run1_Pilot20,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,21.66,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,21,-,1w,C052_run1_Pilot21,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,13.03,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,22,-,2w,C052_run1_Pilot22,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,12.52,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,23,-,1w,C052_run1_Pilot23,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,7.47,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,24,-,1w,C052_run1_Pilot24,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,13.4,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,25,-,2w,C052_run1_Pilot25,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,7.98,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,26,-,1w,C052_run1_Pilot26,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,27.95,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,27,-,1w,C052_run1_Pilot27,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,9.98,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,28,-,2w,C052_run1_Pilot28,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,18.29,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,29,-,1w,C052_run1_Pilot29,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,12.85,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,30,-,1w,C052_run1_Pilot30,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,18.29,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,31,-,2w,C052_run1_Pilot31,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric+1,103.46,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,32,-,1w,C052_run1_Pilot32,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric+1,28.95,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,33,-,1w,C052_run1_Pilot33,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric+1,16.35,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,34,-,2w,C052_run1_Pilot34,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric+1,13.87,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,36,-,1w,C052_run1_Pilot36,"bovine mammary gland","luminal epithelial cells",20,1,3:00:00,Lauric+1,21.33,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,37,-,2w,C052_run1_Pilot37,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric+1,8.59,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,38,-,1w,C052_run1_Pilot38,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric+1,19.31,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,39,-,1w,C052_run1_Pilot39,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric+1,8.54,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,40,-,2w,C052_run1_Pilot40,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric+1,12.1,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,41,-,1w,C052_run1_Pilot41,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric+1,20.99,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,42,-,1w,C052_run1_Pilot42,"bovine mammary gland","luminal epithelial cells",20,1,4:00:00,Lauric+1,23.75,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,43,-,2w,C052_run1_Pilot43,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,14,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,44,-,1w,C052_run1_Pilot44,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,21.98,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,46,-,2w,C052_run1_Pilot46,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,24.19,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,47,-,1w,C052_run1_Pilot47,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,14.65,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,48,-,1w,C052_run1_Pilot48,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,24.38,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,49,-,2w,C052_run1_Pilot49,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric+1,21.23,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,50,-,1w,C052_run1_Pilot50,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric+1,11.03,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,51,-,2w,C052_run1_Pilot52,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric+1,11.09,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,52,-,1w,C052_run1_Pilot53,"bovine mammary gland","luminal epithelial cells",20,1,6:00:00,Lauric+1,14.15,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,53,-,1w,C052_run1_Pilot56,"bovine mammary gland","luminal epithelial cells",20,1,8:00:00,Lauric+1,19.45,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,54,-,2w,C052_run1_Pilot58,"bovine mammary gland","luminal epithelial cells",20,1,8:00:00,Lauric+1,26.34,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,55,-,1w,C052_run1_Pilot59,"bovine mammary gland","luminal epithelial cells",20,1,8:00:00,Lauric+1,18.06,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,56,-,2w,C052_run1_Pilot61,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric+1,30.01,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,57,-,1w,C052_run1_Pilot62,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric+1,12.98,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,58,-,2w,C052_run1_Pilot64,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric+1,10.42,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,59,-,1w,C052_run1_Pilot65,"bovine mammary gland","luminal epithelial cells",20,1,,Lauric+1,18.4,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,60,-,2w,C052_run1_Pilot67,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,29.41,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,61,-,1w,C052_run1_Pilot68,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,10.7,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,62,-,1w,C052_run1_Pilot69,"bovine mammary gland","luminal epithelial cells",20,1,5:00:00,Lauric+1,24.11,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,63,-,2w,C052_run1_Pilot73,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,10.99,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,64,-,1w,C052_run1_Pilot74,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,10.1,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,65,-,1w,C052_run1_Pilot75,"bovine mammary gland","luminal epithelial cells",20,1,2:00:00,Lauric+1,24.54,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,66,-,100mm,C052_run1_Pilot80,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric+1,29.16,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,67,-,100mm,C052_run1_Pilot81,"bovine mammary gland","luminal epithelial cells",20,1,0:00:00,Lauric+1,9.58,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,69,-,100mm,C052_run1_Pilot83,"bovine mammary gland","luminal epithelial cells",20,1,0:30:00,Lauric+1,14.65,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,70,-,100mm,C052_run1_Pilot84,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,65.68,-,-,-,-,"Fatty Acids synthesis"
"Teixeira 2018",1,1,1,71,-,100mm,C052_run1_Pilot85,"bovine mammary gland","luminal epithelial cells",20,1,1:00:00,Lauric+1,15.01,-,-,-,-,"Fatty Acids synthesis"
